signal_id,run_id,company_name,website,signal_type,tier2_vertical,tier2_stage,funding_amount,confidence_score,tier2_confidence,context_validated,signal_rationale,article_title,source_url,article_date,date_detected,review_status,send_to_attio,attio_sync_status
sig_a677cc6c4e2d,run_20260407_073521_03129eb4,,,negative_signal,ai_ml,series_a,,0.90,1.00,Yes,"Ai/ml company, series a stage, negative signal, source matched 'ai', 'venture capital'.","5 Interesting Startup Deals You May Have Missed: A Credit Card Backed By Mineral Rights, Flying Ferries, And A Foundation AI Model For Plants",https://news.crunchbase.com/venture/interesting-startup-deals-mineral-rights-flying-ferry-ai-clean-tech/,"Tue, 07 Apr 2026 11:00:35 +0000",2026-04-07T07:35:29.788943,Pending,No,Not Synced
sig_9a8d6b4a6d10,run_20260407_073521_03129eb4,Medvi,,negative_signal,ai_ml,,,0.90,1.00,Yes,"Ai/ml company, negative signal, source matched 'ai'.","Medvi, glorified by the NYT as a two-employee startup with $1B+ in revenue, is a warning about how AI can be misused for shady business and marketing practices",https://garymarcus.substack.com/p/the-back-story-behind-the-first-18,2026-04-05T20:25:02.000Z,2026-04-07T07:35:29.807557,Pending,No,Not Synced
